1;5;0;0
2;5;0;0
3;5;0;0
4;4;0;0
5;4;0;0
6;4;0;0
7;3;0;0
8;3;0;0
9;3;0;0
10;2;0;0
11;2;0;0
12;2;0;0
13;3;0;0
14;3;0;0
15;3;0;0
16;4;0;0
17;4;0;0
18;4;0;0
19;5;0;0
20;5;0;0
21;5;0;0
22;4;0;0
23;4;0;0
24;4;0;0
25;3;0;0
26;3;0;0
27;3;0;0
28;2;0;0
29;2;0;0
30;2;0;0
31;1;0;0
32;1;0;0
33;1;0;0
34;0;0;0
35;0;0;0
36;0;0;0
37;1;0;0
38;1;0;0
39;1;0;0
40;2;0;0
41;2;0;0
42;2;0;0
43;3;0;0
44;3;0;0
45;3;0;0
46;2;0;0
47;2;0;0
48;2;0;0
49;3;0;0
50;3;0;0
51;3;0;0
52;2;0;0
53;2;0;0
54;2;0;0
55;3;0;0
56;3;0;0
57;3;0;0
58;4;0;0
59;4;0;0
60;4;0;0
